CODCost,_id,cost,courier,courier_id,createdAt,customCourierCost,customCourierVatCost,deliverDate,estimatedDeliverDate,finalWeight,insuranceCost,isAdjusted,isCompared,isPickUpDone,isPickUpFailed,isReturn,isShipped,method,mrr,otn,packages,pickUpCode,pickupDate,processDate,vatCost,weight
0,621fb417f0630095c9b460d0,1,dpd,500,2022-03-02T18:14:47.034Z,0.09,0.018,2022-04-05T11:15:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VYDT1646158816S1,"[{""$oid"":""621fb416f06300ec7eb460cf""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:48:40.580Z,0.2,0.318
0,622770104f3f6f9b6fc1e36b,1,publicCorreos,469,2022-03-08T15:02:40.524Z,0.09,0,,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXF2K1646745404S1,"[{""$oid"":""6227700f4f3f6f5f92c1e36a""}]",,2022-03-31T13:09:00.000Z,2022-03-27T19:46:58.992Z,0,2.525
0,622a462f6a5884ee63582b0d,1,publicCorreos,469,2022-03-10T18:40:47.141Z,0.09,0,2022-03-29T09:43:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXCUW1646935133S1,"[{""$oid"":""622a462e6a58840c63582b0c""}]",,2022-03-28T12:57:00.000Z,2022-03-27T19:48:53.995Z,0,0.82
0,623190b5940f17ac06df704c,0.09,publicCorreos,653,2022-03-16T07:24:37.849Z,0.09,0.018,2022-03-28T12:58:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66Y871647382808S1,"[{""$oid"":""623190b5940f179062df704b""}]",,2022-03-25T11:05:00.000Z,2022-03-25T09:29:02.955Z,0.018,0.668
0,6233290cdd5cad50f3a649fc,1,dpd,500,2022-03-17T12:26:52.316Z,0.09,0.018,2022-04-04T10:32:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VNZ51647437422S1,"[{""$oid"":""6233290bdd5cad64a7a649fb""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:39:43.417Z,0.2,0.318
0,6233290fdd5cad2ddfa64a09,1,dpd,500,2022-03-17T12:26:55.434Z,0.09,0.018,2022-04-04T13:09:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74V9TN1647364849S1,"[{""$oid"":""6233290edd5cadd524a64a03""}]",null,2022-03-30T15:25:00.000Z,2022-03-30T11:42:57.822Z,0.2,0.318
0,623432c2bde2ae1bfa916ada,1,dpd,500,2022-03-18T07:20:34.163Z,0.09,0.018,2022-04-05T16:42:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74V6XH1647533420S1,"[{""$oid"":""623432c1bde2ae352e916ad9""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:32:40.942Z,0.2,0.636
0,6235c7c2c51a5861752b5f98,1,publicCorreos,469,2022-03-19T12:08:34.550Z,0.09,0,2022-03-28T17:02:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLX8GR1647690435S1,"[{""$oid"":""6235c7c1c51a5817502b5f97""}]",,2022-03-25T12:39:00.000Z,2022-03-25T11:21:39.479Z,0,0.668
0,6238399887036525485bdce0,1,dpd,500,2022-03-21T08:38:48.717Z,0.09,0.018,2022-04-05T11:11:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VZBV1647706805S1,"[{""$oid"":""623839988703658a0b5bdcdf""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:58:32.352Z,0.2,1.272
0,6238399e870365b9095bdcf1,1,dpd,500,2022-03-21T08:38:54.241Z,0.09,0.018,2022-04-05T19:38:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VHTG1647678003S1,"[{""$oid"":""6238399d870365e3445bdcf0""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:30:44.794Z,0.2,0.318
0,623859caeacf336b2631a8ad,0.09,publicCorreos,653,2022-03-21T10:56:10.969Z,0.09,0.018,2022-03-28T13:27:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66FDZ1647703205S1,"[{""$oid"":""623859caeacf338bd531a8ac""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:35:38.306Z,0.018,0.668
0,62386292041390601128b75a,1,dpd,500,2022-03-21T11:33:38.295Z,0.09,0.018,2022-04-02T13:11:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VTGT1647030003S1,"[{""$oid"":""6238629104139020b328b759""}]",null,2022-03-28T15:43:00.000Z,2022-03-28T07:18:54.839Z,0.2,0.318
0,623885d88911d9b10917b50e,0.09,publicCorreos,653,2022-03-21T14:04:08.070Z,0.09,0.018,2022-03-28T11:44:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66PLL1647860427S1,"[{""$oid"":""623885d78911d94fbd17b50d""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:37:21.643Z,0.018,0.668
0,6238baeaeeca7ebe03a23f3b,0.09,publicCorreos,653,2022-03-21T17:50:34.632Z,0.09,0.018,2022-03-28T11:30:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66QP31647884015S1,"[{""$oid"":""6238baeaeeca7ec5b0a23f3a""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:39:58.298Z,0.018,0.668
0,623ae24586b88218e2fba543,1,ups,183,2022-03-23T09:03:01.158Z,0.09,0,2022-03-29T09:44:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ups standard,null,79ZY5FS1647967301S1,"[{""$oid"":""623ae22386b882e4a1fba482""}]",null,2022-03-25T20:04:00.000Z,2022-03-25T07:48:01.801Z,0,0.6666666667
0,623ae283eadcb982f0f7a60f,1,seur,175,2022-03-23T09:04:03.490Z,0.09,0,2022-03-28T12:22:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYTMY1647987459S1,"[{""$oid"":""623ae272eadcb9373bf7a5c8""}]",null,2022-03-28T08:03:00.000Z,2022-03-25T07:48:21.950Z,0,0.6666666667
0,623ae284eadcb937caf7a62b,1,seur,175,2022-03-23T09:04:04.033Z,0.09,0,2022-03-28T15:47:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYLSJ1647988430S1,"[{""$oid"":""623ae272eadcb9dafdf7a5c7""}]",null,2022-03-28T08:31:00.000Z,2022-03-25T07:48:46.251Z,0,0.6666666667
0,623ae284eadcb92ceff7a630,1,seur,175,2022-03-23T09:04:04.108Z,0.09,0,2022-03-28T13:15:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYKPS1647988599S1,"[{""$oid"":""623ae272eadcb965fdf7a5c9""}]",null,2022-03-28T08:15:00.000Z,2022-03-25T07:49:24.502Z,0,0.6666666667
0,623b3938485fe6b038b6e8df,0.09,publicCorreos,653,2022-03-23T15:14:00.661Z,0.09,0.018,2022-03-28T12:27:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66QDX1647976836S1,"[{""$oid"":""623b3938485fe6a3c6b6e8de""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:42:00.652Z,0.018,0.668
0,623b3938485fe6cde4b6e8e1,0.09,publicCorreos,653,2022-03-23T15:14:00.948Z,0.09,0.018,2022-03-28T11:41:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66DLZ1647960122S1,"[{""$oid"":""623b3938485fe66178b6e8e0""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:40:56.683Z,0.018,0.668
0,623b800addd454042e75a545,0.09,publicCorreos,653,2022-03-23T20:16:10.841Z,0.09,0.018,2022-03-28T17:24:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,LX66PCU1648066206S1,"[{""$oid"":""623b800addd4541b6975a544""}]",,2022-03-25T11:04:00.000Z,2022-03-25T09:43:23.239Z,0.018,0.668
0,623b812ee552e751ebca8bba,1,publicCorreos,469,2022-03-23T20:21:02.515Z,0.09,0,2022-03-30T10:28:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXGJ91648062230S1,"[{""$oid"":""623b812de552e72e2aca8bb9""}]",,2022-03-28T12:52:00.000Z,2022-03-26T23:12:01.252Z,0,0.668
0,623c27cdd767a33e2ea7677f,1,seur,175,2022-03-24T08:11:57.201Z,0.09,0,2022-03-28T16:24:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYTYR1648087801S1,"[{""$oid"":""623c27bfd767a331d7a76732""}]",null,2022-03-28T06:59:00.000Z,2022-03-25T07:58:25.968Z,0,0.6666666667
0,623c3b18c03efedb93fc70ab,1,dpd,500,2022-03-24T09:34:16.748Z,0.09,0.018,,2022-04-05T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VWJF1647885004S1,"[{""$oid"":""623c3b17c03efeafd0fc70aa""}]",null,2022-03-30T15:25:00.000Z,2022-03-30T11:50:16.450Z,0.2,0.318
0,623c3b19c03efebf5efc70ad,1,dpd,500,2022-03-24T09:34:17.483Z,0.09,0.018,2022-04-05T13:05:00.000Z,2022-04-04T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,dpd door to door,null,W74VM4M1647883528S1,"[{""$oid"":""623c3b18c03efe5830fc70ac""}]",null,2022-03-30T15:24:00.000Z,2022-03-30T11:55:54.857Z,0.2,0.954
0,623c4f33ce66c3e6a74b6208,4.15,publicCorreos,59,2022-03-24T11:00:03.373Z,,,2022-03-29T11:21:00.000Z,2022-03-30T00:00:00.000Z,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,nacional domicilio standard,null,DP8YCUA1648047352S1,"[{""$oid"":""623c4f25d9004259e2fbd687""}]",,2022-03-25T11:21:00.000Z,2022-03-25T09:41:17.448Z,0,0.146125
0,623c50e27af7872fbb303ed2,1,seur,175,2022-03-24T11:07:14.546Z,0.09,0,2022-03-30T11:29:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYN3M1648050608S1,"[{""$oid"":""623c50d77af7871de6303ea4""}]",null,2022-03-30T07:36:00.000Z,2022-03-29T13:59:52.760Z,0,0.6666666667
0,623c50e27af7873517303ede,1,seur,175,2022-03-24T11:07:14.815Z,0.09,0,2022-03-30T18:30:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZYS9V1648050663S1,"[{""$oid"":""623c50d87af7871a8f303eb6""}]",null,2022-03-30T08:44:00.000Z,2022-03-29T14:02:03.192Z,0,0.6666666667
0,623c50e37af7873ebe303ee9,1,seur,175,2022-03-24T11:07:15.022Z,0.09,0,2022-03-30T15:02:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZY6R11648048268S1,"[{""$oid"":""623c50d77af787e2a1303eab""}]",null,2022-03-30T09:13:00.000Z,2022-03-29T13:58:29.016Z,0,0.6666666667
0,623c563db7d5c57a5ae8c52d,0.09,seur,915,2022-03-24T11:30:05.144Z,0.09,0,2022-03-31T10:19:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,GVGDNY91648037598S1,"[{""$oid"":""623c563ab7d5c5fdd2e8c51d""}]",null,2022-03-30T18:00:00.000Z,2022-03-29T09:51:36.037Z,0,0.6666666667
0,623c6b7ac82ab25039e56bd1,3.99,correos,1,2022-03-24T13:00:42.354Z,,,2022-03-29T18:29:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,express,null,YP22A5K1647874118S1,"[{""$oid"":""623c6b6451b1c41e37a755ff""}]",114153200,2022-03-25T14:30:02.000Z,2022-03-25T11:17:14.892Z,0,1.56145
0,623c762606f98da55f5748fa,1,publicCorreos,469,2022-03-24T13:46:14.102Z,0.09,0,2022-03-28T10:46:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXA8Q1648126307S1,"[{""$oid"":""623c762506f98d4c0a5748f9""}]",,2022-03-25T12:59:00.000Z,2022-03-25T09:11:17.995Z,0,0.668
0,623c762706f98d7e1d5748fc,1,publicCorreos,469,2022-03-24T13:46:15.143Z,0.09,0,2022-03-28T11:40:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLX2RE1648123899S1,"[{""$oid"":""623c762606f98d9a535748fb""}]",,2022-03-25T12:46:00.000Z,2022-03-25T09:11:55.532Z,0,0.668
0,623c762806f98d62b85748fe,1,publicCorreos,469,2022-03-24T13:46:16.037Z,0.09,0,2022-03-28T10:35:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXGAZ1648123898S1,"[{""$oid"":""623c762706f98d8ba35748fd""}]",,2022-03-25T12:44:00.000Z,2022-03-25T09:12:23.082Z,0,1.6
0,623c762806f98d7050574900,1,publicCorreos,469,2022-03-24T13:46:16.961Z,0.09,0,2022-03-28T11:53:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXN7B1648123286S1,"[{""$oid"":""623c762806f98d9c505748ff""}]",,2022-03-25T12:55:00.000Z,2022-03-25T09:12:40.757Z,0,0.85
0,623c7d2aace82f3041f58c2e,1,seur,175,2022-03-24T14:16:10.722Z,0.09,0,2022-03-28T17:22:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZY5461648117802S1,"[{""$oid"":""623c7d15ace82f6f41f58bb1""}]",null,2022-03-28T08:25:00.000Z,2022-03-25T07:14:13.345Z,0,0.6666666667
0,623c8fe4ce66c3bb6f4b693c,1,seur,175,2022-03-24T15:36:04.661Z,0.09,0,2022-03-30T14:26:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,seur 24,null,79ZY6ET1648125035S1,"[{""$oid"":""623c8fe0ce66c3cf034b6923""}]",null,2022-03-30T08:23:00.000Z,2022-03-29T13:04:58.680Z,0,0.6666666667
0,623c944f212fd63c997dd0ca,0.09,correos,120,2022-03-24T15:54:55.802Z,0.09,0,2022-03-30T13:36:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,99K5VVV1648129202S1,"[{""$oid"":""623c944f212fd63fff7dd0c9""}]",null,2022-03-29T17:50:00.000Z,2022-03-29T13:11:28.511Z,0,0.410319
0,623c99c4bb88eeacd25986e6,0.09,correos,950,2022-03-24T16:18:12.713Z,0.06,0,2022-03-28T13:48:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WMQQT1647959970S1,"[{""$oid"":""623c99c4bb88eea94d5986e5""}]",null,2022-03-28T06:01:00.000Z,2022-03-25T09:23:08.454Z,0,0.952568
0,623c99c5bb88eeaf855986e9,0.09,correos,950,2022-03-24T16:18:13.294Z,0.06,0,2022-03-29T12:47:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WM4G31647960007S1,"[{""$oid"":""623c99c4bb88eea2025986e8""}]",null,2022-03-29T07:49:00.000Z,2022-03-28T08:25:15.100Z,0,0.952568
0,623c99c5bb88eec0785986ec,0.09,correos,950,2022-03-24T16:18:13.869Z,0.06,0,2022-04-11T18:04:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WMGHB1647960081S1,"[{""$oid"":""623c99c5bb88ee59915986eb""}]",null,2022-03-28T14:30:00.000Z,2022-03-25T09:21:43.697Z,0,0.952568
0,623c99cdbb88eeed31598711,0.09,correos,950,2022-03-24T16:18:21.511Z,0.06,0,2022-03-28T10:01:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WM5EG1647964566S1,"[{""$oid"":""623c99ccbb88ee5c46598710""}]",null,2022-03-28T06:20:00.000Z,2022-03-25T09:20:36.992Z,0,0.952568
0,623c99cfbb88ee30bb59871a,0.09,correos,950,2022-03-24T16:18:23.242Z,0.06,0,2022-03-28T09:59:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WMVNZ1647965592S1,"[{""$oid"":""623c99cebb88ee77f1598719""}]",null,2022-03-28T05:23:00.000Z,2022-03-25T09:18:10.381Z,0,0.952568
0,623c99d9bb88eed370598758,0.09,correos,950,2022-03-24T16:18:33.982Z,0.06,0,2022-03-28T10:13:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,express,null,L6WMWTA1647973633S1,"[{""$oid"":""623c99d9bb88ee089d598757""}]",null,2022-03-26T01:51:00.000Z,2022-03-25T09:16:32.396Z,0,0.952568
0,623cb077b736ea107aafc6fc,1,publicCorreos,469,2022-03-24T17:55:03.494Z,0.09,0,2022-03-28T13:03:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXNBR1648142957S1,"[{""$oid"":""623cb076b736ea4f6aafc6fb""}]",,2022-03-25T12:51:00.000Z,2022-03-25T09:10:37.628Z,0,2.46
0,623cb2dc511e745bffda040f,1,publicCorreos,469,2022-03-24T18:05:16.107Z,0.09,0,2022-03-28T12:34:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXBZR1648144888S1,"[{""$oid"":""623cb2db511e74da21da040e""}]",,2022-03-25T12:47:00.000Z,2022-03-25T09:10:21.774Z,0,0.668
0,623cb2dc511e7452a8da0411,1,publicCorreos,469,2022-03-24T18:05:16.977Z,0.09,0,2022-03-29T11:56:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLXQ6U1648144889S1,"[{""$oid"":""623cb2dc511e749a29da0410""}]",,2022-03-25T12:57:00.000Z,2022-03-25T09:09:43.313Z,0,1.4
0,623cb663ea7cc071f64b8e37,1,publicCorreos,469,2022-03-24T18:20:19.766Z,0.09,0,2022-03-29T09:14:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLX22Y1648145484S1,"[{""$oid"":""623cb662ea7cc0f7db4b8e36""}]",,2022-03-25T12:43:00.000Z,2022-03-25T09:09:19.477Z,0,2.8
0,623cbe41ea7cc0bf314b8ec1,1,publicCorreos,469,2022-03-24T18:53:53.743Z,0.09,0,2022-03-29T09:52:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,paq premium domicilio,null,2NLX8PX1648147284S1,"[{""$oid"":""623cbe40ea7cc0e2584b8ec0""}]",,2022-03-25T12:53:00.000Z,2022-03-25T09:08:30.593Z,0,2.1
1,623cbfd26160f176dee08cdc,5.17,ctt,99,2022-03-24T19:00:34.585Z,0.09,0,2022-03-30T11:16:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ctt 48 horas,null,3L4GLLN1648148051S1,"[{""$oid"":""623cbfd16160f1ea80e08cdb""}]",null,2022-03-25T18:15:00.000Z,2022-03-25T07:33:26.595Z,0,3.8
0,623cbfd36160f16102e08cde,4.29,correos,100,2022-03-24T19:00:35.249Z,0.09,0,2022-03-26T12:29:00.000Z,2022-03-28T00:00:00.000Z,,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,standard,null,3L4GTUT1648143472S1,"[{""$oid"":""623cbfd26160f1283ce08cdd""}]",null,2022-03-25T19:30:00.000Z,2022-03-25T07:33:28.307Z,0,4.8
0,623cbfd36160f1730ee08ce0,3.68,ctt,99,2022-03-24T19:00:35.924Z,0.09,0,2022-03-28T14:32:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,ctt 19 horas,null,3L4G82Q1648143167S1,"[{""$oid"":""623cbfd36160f134b3e08cdf""}]",null,2022-03-25T18:17:00.000Z,2022-03-25T07:33:26.715Z,0,2.88
0,623d0798f7006fb962a750b5,1,tipsa,559,2022-03-25T00:06:48.494Z,0.05,0,2022-03-30T15:33:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4QAC1648166804S1,"[{""$oid"":""623d0797f7006f31e4a750b3""}]",,2022-03-29T09:08:00.000Z,2022-03-25T00:06:50.459Z,0,48
0,623d079cd9c45a4d15be2426,1,tipsa,559,2022-03-25T00:06:52.744Z,0.05,0,2022-04-04T15:02:00.000Z,2022-03-31T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z414M1648166810S1,"[{""$oid"":""623d079bd9c45a9c1abe2425""}]",,2022-03-29T12:11:00.000Z,2022-03-25T00:06:54.315Z,0,56
0,623d079e57f54fda7edcf79c,1,tipsa,559,2022-03-25T00:06:54.726Z,0.05,0,2022-04-07T09:10:00.000Z,2022-03-29T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z471T1648166812S1,"[{""$oid"":""623d079d57f54feed3dcf79b""}]",,2022-03-28T11:20:00.000Z,2022-03-25T00:06:56.156Z,0,56
0,623d07a22ff9d81bd5df8413,1,tipsa,559,2022-03-25T00:06:58.097Z,0.05,0,2022-04-01T14:52:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4UEM1648166815S1,"[{""$oid"":""623d07a12ff9d882a8df8412""}]",,2022-03-29T12:11:00.000Z,2022-03-25T00:06:59.557Z,0,56
0,623d07a4d4e481ab2c3c37d4,1,tipsa,559,2022-03-25T00:07:00.054Z,0.05,0,2022-03-30T16:39:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4GUG1648166817S1,"[{""$oid"":""623d07a3d4e4817ff83c37d3""}]",,2022-03-29T09:00:00.000Z,2022-03-25T00:07:01.228Z,0,48
0,623d07a7f7a949366ad02900,1,tipsa,559,2022-03-25T00:07:03.672Z,0.05,0,2022-03-29T18:28:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4AUK1648166821S1,"[{""$oid"":""623d07a6f7a949ddd5d028ff""}]",,2022-03-29T07:43:00.000Z,2022-03-25T00:07:05.104Z,0,48
0,623d07a924b1e9d43ada7b12,1,tipsa,559,2022-03-25T00:07:05.354Z,0.05,0,2022-04-19T12:29:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4WXM1648166822S1,"[{""$oid"":""623d07a824b1e9cce6da7b11""}]",,2022-03-29T12:11:00.000Z,2022-03-25T00:07:06.545Z,0,56
0,623d07adf7006f69c4a750c0,1,tipsa,559,2022-03-25T00:07:09.123Z,0.05,0,2022-03-29T13:03:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4STZ1648166826S1,"[{""$oid"":""623d07acf7006fb1f5a750bf""}]",,2022-03-29T09:22:00.000Z,2022-03-25T00:07:10.393Z,0,56
0,623d07ae918f3fe4add62265,1,tipsa,559,2022-03-25T00:07:10.707Z,0.05,0,2022-03-31T18:05:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4CU51648166828S1,"[{""$oid"":""623d07ad918f3fcf33d62264""}]",,2022-03-29T12:13:00.000Z,2022-03-25T00:07:12.150Z,0,56
0,623d07b2887bde69a26abdb6,1,tipsa,559,2022-03-25T00:07:14.255Z,0.05,0,2022-03-29T14:39:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4DLD1648166831S1,"[{""$oid"":""623d07b1887bde3cd76abdb5""}]",,2022-03-29T09:49:00.000Z,2022-03-25T00:07:15.657Z,0,56
0,623d07b4c58f3c3ebf384bdd,1,tipsa,559,2022-03-25T00:07:16.289Z,0.05,0,2022-03-29T16:31:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4UGN1648166833S1,"[{""$oid"":""623d07b3c58f3cf354384bdc""}]",,2022-03-29T09:51:00.000Z,2022-03-25T00:07:17.707Z,0,48
0,623d07b7f7a9493fafd02905,1,tipsa,559,2022-03-25T00:07:19.302Z,0.05,0,2022-03-30T09:23:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4A811648166836S1,"[{""$oid"":""623d07b6f7a949641ad02904""}]",,2022-03-29T09:05:00.000Z,2022-03-25T00:07:20.343Z,0,48
0,623d07b923b4931d343c1f4e,1,tipsa,559,2022-03-25T00:07:21.986Z,0.05,0,2022-03-29T13:19:00.000Z,2022-03-30T00:00:00.000Z,,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tipsa premium,null,26Z4DKE1648166839S1,"[{""$oid"":""623d07b823b49332fa3c1f4d""}]",,2022-03-29T07:41:00.000Z,2022-03-25T00:07:23.399Z,0,48
